"id","pk2"
105,44
108,17.5
112,4.75
113,34.5
114,16.25
126,18.5
130,2
131,20
135,37.25
137,11.25
138,70.5
141,5.75
143,17.5
144,29
148,39
149,9.75
150,8.75
151,56.5
161,67
162,11.5
166,84
169,23.25
174,49.75
181,10
182,36
183,57.75
184,16.25
185,2.25
186,17.75
188,13.75
189,18.25
190,61.5
191,19.25
192,1.5
195,15
196,2.75
198,10.75
199,2
200,4
203,5.25
205,28
207,23
208,24
210,6.5
212,22.75
213,11.75
215,0
217,12.75
219,8.5
221,7
222,23.75
224,14.25
225,16.25
227,12.25
230,5.25
231,45.75
236,15.5
237,6
245,29.5
246,10
248,5.25
253,7.75
255,3
258,14.5
260,69.75
263,11
264,23.75
265,46.25
266,0
267,9.25
269,12.75
274,10.25
277,48.75
278,8
279,13.25
280,4.75
282,20.5
283,30.75
284,20.25
285,15.25
287,4.75
290,9
291,25
292,15.5
295,28
302,8.75
306,16.25
307,28
308,20.75
313,18
316,14.75
319,13.75
320,35.5
321,30.75
323,60.25
324,14.25
326,8
327,8.5
328,47
329,22.75
331,18.75
335,2.5
337,30
339,30.5
340,11
342,65.75
343,70.66666
345,21.25
346,18.75
348,27.25
354,28.75
357,24.25
359,59.5
363,18.75
364,24.25
365,4.5
369,13.75
371,8
372,36.25
373,8.75
375,13.25
376,11.33333
377,4.25
380,15.75
382,2.5
383,17.5
384,21.25
391,27.75
392,28
393,20.75
394,19.25
396,13
398,16.75
399,48.25
401,11
404,13.75
406,36
408,3.5
410,21
413,24.75
414,12
415,15.25
416,4
419,43.25
420,7.25
424,26
428,7.25
429,15.66667
431,25
432,16.75
433,18
434,21.25
441,23.25
444,12.75
449,26
451,13.25
452,30.25
455,11.5
456,11.5
458,17.25
459,8.25
460,3.333333
463,38.25
464,7.75
467,59
468,8.75
469,29.5
470,41.75
471,14.75
473,10
474,14.75
477,15.75
478,25
480,7.25
481,3.75
482,12
488,14
494,22.25
497,8.25
498,11
500,32
501,63
503,13
504,15.25
505,6
508,17
509,4.25
512,26.25
516,36.75
518,20.25
519,16.25
521,9
522,12
523,13.5
524,4
530,22.5
535,23
539,18.75
540,13.75
542,19
548,26
549,12.25
553,65.75
554,8.25
555,33
558,13
559,20
563,20.25
564,17
566,18.75
567,39
568,98.5
569,13.25
577,13.75
578,5.75
579,10.25
582,14.25
586,57.25
587,8.5
588,14.75
590,12.25
591,35.25
592,20
594,6.75
596,32.5
598,45.25
601,25.75
603,42.5
604,27.25
606,24
608,28
612,11
614,13.5
617,8.75
619,33.75
620,9.5
621,18
622,4.75
624,61.75
627,15.75
628,10.75
630,40
635,49.5
636,20.25
638,10.5
640,34.5
642,10.75
646,19.75
647,20.75
648,14.75
650,5.5
655,19
656,31.75
662,26
667,17.75
668,11
671,1.75
672,12
674,19.25
676,20.25
677,18.75
683,50
684,25
685,4.75
687,69.75
692,32.75
695,0.5
696,22
698,15
699,15
701,36
704,7.25
707,48.5
710,8.25
711,8
712,5
713,9.5
714,18
717,11.25
719,24.5
726,62.5
733,7.25
734,27
735,17.5
737,16
740,17
741,15.25
742,6.75
743,20.75
744,38
746,6.5
748,42.25
756,7.5
758,14
764,32.5
765,26.75
766,91.75
767,16.5
768,24.25
769,47.5
773,15
774,23
776,9.75
780,21.25
782,64.5
783,56.75
785,36.75
788,27.25
789,27
794,16
798,26
800,5
827,12.5
829,69.5
833,15.75
840,15.75
857,19.75
872,34
876,1.25
880,12.75
884,8.75
886,11.5
895,26.5
899,23.5
905,10.25
912,11.75
