"id","pk5"
104,15.33333
108,23.25
112,6.25
113,51.25
114,25.25
126,15.25
130,1
131,2.5
135,28.75
137,13.5
141,2.75
143,26.75
144,40
148,32.75
149,19.5
150,21.5
161,38
162,12.5
169,18.75
181,8.5
183,62.25
184,9.75
185,15.5
186,9.25
188,9.25
189,6
190,60
192,28.75
195,23
196,3.5
198,3.25
199,73.73334
200,16.75
203,6.25
205,29.5
207,13.75
208,0.5
212,17
213,12.75
217,7.75
219,1.25
221,5.5
222,8.25
224,5.5
225,3
227,8.25
230,4.75
231,28.25
236,11.75
237,17
245,30.75
246,16
248,6.25
253,8
255,8.25
258,13.75
260,79.75
264,22.5
265,44.75
266,0.25
267,7
269,15.25
274,16.75
277,29.75
278,17.5
279,13.75
280,7.5
282,15.75
283,25.25
284,26
285,7.75
287,9.5
290,2.5
291,11.75
292,14.25
302,11.5
306,9
307,14.5
308,27.25
313,7.25
316,15.75
319,19.5
320,64.5
321,28.25
323,31
324,20
326,12.25
327,27.5
328,47.75
329,24.25
333,12
335,6.5
337,25.25
339,42.75
340,18.75
342,61.5
343,75.25
345,13.5
346,15.5
348,10.75
354,20.75
357,31.75
359,57.75
363,43.75
365,6.25
369,12.5
371,9.5
372,16.5
373,17.75
375,19
377,7.25
380,15
382,2.25
383,11.5
384,14.75
386,14
391,28.75
392,28.75
393,25.75
394,14.25
396,12
398,13
401,14.25
404,13.5
406,36.5
408,3
410,25
413,14.75
414,13.75
415,17
416,4
419,15.75
420,21.5
424,12
428,3
429,23
431,15
432,9.75
433,25
434,41.25
435,24.25
441,9.25
444,10.5
449,10.25
451,16
452,19.75
455,7.5
456,10.5
458,16.75
459,18.25
460,7.25
463,9
464,11.75
467,71.5
468,5.25
469,9.5
470,46.75
471,7.25
473,2.75
474,9.5
477,5.25
478,33
480,11.75
481,8
482,12.75
488,17.25
494,16.75
497,6.5
498,12.5
500,67
501,33
503,8
504,25
505,2
508,4.5
509,0
512,10
516,29
518,11
519,19.75
521,7.5
522,22.75
524,12.5
530,16.25
535,11
540,10
548,16.5
549,17
553,73.75
554,8.25
555,26
558,12.75
559,17.5
563,6
564,16.75
566,15.5
567,28.25
568,47.25
569,11.75
577,19.75
578,2.75
579,11.75
582,2
587,40
588,17.5
590,12.75
591,32
592,27
594,18.75
596,22.75
598,34.75
601,8.25
603,27.25
604,4.5
608,14.25
612,9.5
614,9
617,4.5
619,15.75
620,7.25
621,16
622,3.75
624,52
627,29.25
628,10.25
630,7.25
635,38.75
636,13.5
638,7.5
642,7.75
646,21.25
647,22.75
648,3
650,14
655,9.5
656,19.5
662,8.25
667,22
668,7
671,8.75
672,19.25
674,41.25
676,3.5
677,10.25
683,42.25
684,37.5
685,31.75
687,51.75
692,17
695,11.75
696,23.25
697,5.25
701,31.75
704,9.5
707,30.5
710,7
711,3.5
712,17.75
713,8.75
714,27.25
717,2
719,27.5
733,4.5
734,14
737,24.75
740,6
741,31
742,17.25
743,10
744,22
746,9.5
748,53.5
756,8.75
758,25.5
764,26
765,23
766,87.25
768,27.5
769,17
773,22.5
774,40.25
776,11.25
780,35.25
783,53.25
785,17.75
787,38.25
789,38.25
798,6
800,3.5
827,5
829,67.75
833,14.25
840,0
872,25.5
876,1.5
880,9.75
884,5.75
886,24.25
899,16.25
905,4
912,9.5
