"id","pk1"
100,10.75
101,9.5
104,16
105,32.5
108,16.5
112,9.25
113,42.5
114,24.25
126,21
130,21.75
131,14.5
135,40.5
137,11.75
138,56.5
139,11.75
141,15.5
143,33.25
144,39.5
148,20.5
149,49.25
150,9.75
151,25
154,26.25
159,35.75
161,59.75
162,14.5
164,48.75
166,51.25
169,19.75
172,74.25
174,43.75
181,12.25
182,19.25
183,55.75
184,23.5
185,21
186,19
188,14.75
189,10
190,64.75
191,13.5
192,38.5
195,17.5
196,19.5
197,31
198,48
199,45
200,32.25
203,26.25
205,30
207,21.25
208,35
210,24.75
212,27.25
213,8.75
215,28.25
216,31.25
217,22.5
219,8.75
220,35.25
221,13.75
222,44.25
224,33
225,19
227,19
229,29
230,9.75
231,59.25
236,19.5
237,12
244,65.25
245,36.25
246,22.25
248,16.25
252,29.75
253,9.25
255,19.5
258,13.75
260,67.5
261,29.5
263,21.25
264,27
265,42.5
266,18.25
267,13
268,38.25
269,32
271,33.25
274,10.25
277,66.5
278,15.75
279,17.25
280,16.25
282,21.5
283,37
284,21
285,23
287,19.75
290,12.25
291,24
292,32.25
295,19.25
302,9.75
306,17
307,37.25
308,19.75
310,10.75
313,13.75
315,35
316,25.75
319,29
320,76.25
321,39.25
322,47
323,43.25
324,24
326,9
327,19.25
328,50.75
329,21.5
331,36.5
333,6.75
335,18.25
337,20.25
339,32.25
340,15
342,74
343,70.75
345,23.75
346,20.25
348,35.75
354,38.25
357,19
358,14.5
359,58.5
363,59
364,30
365,22.25
369,21.25
371,9.5
372,48.5
373,17
374,13.75
375,17.5
376,10.75
377,10.25
380,41.25
382,9.5
383,16.25
384,22
385,24.75
386,16.5
389,42
390,12.25
391,37.75
392,16.25
393,12.5
394,18.25
396,19.75
398,26.75
399,76.5
401,17.75
404,13.5
406,57.25
408,11
410,27.25
413,28
414,13.75
415,19.5
416,12.75
418,40.5
419,27
420,15.75
424,34.5
425,20.75
426,16.25
428,15.25
429,9.25
431,11.75
432,18.5
433,18.5
434,41.5
435,19
441,12.75
442,22.5
444,12.5
446,13
447,9.25
449,13.25
450,13
451,14
452,20
455,17
456,14.25
458,17.75
459,16.25
460,12
463,42.25
464,19.25
467,63.75
468,9.25
469,32.5
470,36.25
471,17.75
472,77
473,13.25
474,11
477,39
478,38.5
480,9.5
481,12
482,16.75
486,9.75
488,28.5
489,10.25
494,14.5
497,31.75
498,20.75
500,45.5
501,47.5
503,8.75
504,20
505,15
506,18.75
507,11.5
508,11.5
509,24.75
511,29
512,11.25
516,41.25
518,18.75
519,22.25
521,11.5
522,25.25
523,14
524,14.25
525,14
530,13.75
535,21
536,32.5
539,11.25
540,28.25
542,16.5
543,18.5
546,17
547,17
548,35.5
549,23.5
550,34
553,68.5
554,15.25
555,40.5
558,16.25
559,52.75
563,21.75
564,26.25
566,18
567,29.5
568,47.75
569,22.5
577,16.25
578,13
579,9.75
580,9.25
581,21.25
582,9.25
584,18
586,24.5
587,25.75
588,9.25
590,20.5
591,39.25
592,24.75
594,11
596,31.5
597,64.5
598,44.5
601,16
603,61.75
604,30
606,31
607,17.66667
608,9.5
612,18.25
614,26.25
617,17
619,22.25
620,9.25
621,23.25
622,11.75
623,22.5
624,57.75
627,15
628,9.5
630,37
631,58.25
632,13.75
634,70
635,39.5
636,16.5
638,12.25
640,24.75
641,26.25
642,8.75
645,27.66667
646,22.25
647,40.25
648,15.25
650,9.5
655,23
656,31
659,31.75
662,64
667,17.5
668,20.25
671,16.75
672,9.25
674,12.75
676,16.5
677,10
679,27.5
681,50.25
683,53.75
684,37.5
685,9
687,51
688,36.75
692,35
693,16.75
695,56
696,37.25
697,15
698,16.25
699,22.25
700,75
701,42
702,20.75
704,25.75
705,15
707,26.75
710,12
711,10
712,16.25
713,16
714,38
715,13.5
717,19
719,33.25
726,87.5
733,29
734,18
735,18.5
737,32.25
740,12.25
741,23.25
742,12.25
743,22
744,28.5
745,26.75
746,10
748,53
756,27
758,26.5
763,17.75
764,28
765,25.75
766,94.75
767,19
768,18.75
769,54.75
771,14.5
773,15.5
774,31
776,18.5
778,35.5
780,24.5
782,60.5
783,51.25
784,55.66667
785,48.75
787,9.25
788,48.5
789,34.25
794,24.25
798,14
800,10.75
827,36.25
829,65.75
832,19.5
833,19
840,17.25
857,18
872,53
876,10.25
880,17
884,17.5
886,21
895,38.5
899,29.75
905,14.25
912,11.75
